place,Jurisdiction,Age,Females,Males,year
485,Thornton,15-19,3937.0,4721,2016.0
486,Ward,15-19,0.0,2,2016.0
487,Westminster,15-19,3160.0,3343,2016.0
488,Wheat Ridge,15-19,887.0,587,2016.0
489,Weld County (DRCOG),15-19,1623.0,1820,2016.0
490,Region,15-19,102554.0,107414,2016.0
421,Arvada,20-24,3129.0,2938,2016.0
422,Aurora,20-24,12519.0,12076,2016.0
423,Bennett,20-24,57.0,38,2016.0
424,Black Hawk,20-24,7.0,0,2016.0
425,Boulder City,20-24,9877.0,12247,2016.0
426,Adams County,20-24,15736.0,16315,2016.0
427,Arapahoe County,20-24,19423.0,19870,2016.0
428,Boulder County,20-24,15926.0,18034,2016.0
429,Broomfield City/County,20-24,2014.0,1740,2016.0
430,Clear Creek County,20-24,220.0,245,2016.0
431,Denver City/County,20-24,22554.0,21408,2016.0
431,Denver City/County,20-24,22554.0,21408,2016.0
432,Douglas County,20-24,7114.0,7416,2016.0
433,Gilpin County,20-24,70.0,66,2016.0
434,Jefferson County,20-24,16247.0,17727,2016.0
435,Bow Mar,20-24,0.0,9,2016.0
436,Weld County,20-24,9692.0,9891,2016.0
437,Brighton,20-24,888.0,1479,2016.0
438,Castle Pines,20-24,117.0,110,2016.0
439,Castle Rock,20-24,1080.0,1549,2016.0
440,Centennial,20-24,2046.0,2926,2016.0
441,Central City,20-24,0.0,7,2016.0
442,Cherry Hills Village,20-24,27.0,76,2016.0
443,Columbine Valley,20-24,4.0,26,2016.0
444,Commerce City,20-24,1284.0,1276,2016.0
445,Dacono,20-24,108.0,66,2016.0
446,Deer Trail,20-24,22.0,14,2016.0
447,Edgewater,20-24,154.0,93,2016.0
448,Elizabeth,20-24,25.0,4,2016.0
449,Empire,20-24,9.0,18,2016.0
450,Englewood,20-24,1650.0,1196,2016.0
451,Erie,20-24,323.0,392,2016.0
452,Federal Heights,20-24,489.0,546,2016.0
453,Firestone,20-24,215.0,226,2016.0
454,Fort Lupton,20-24,210.0,251,2016.0
455,Foxfield,20-24,20.0,24,2016.0
456,Frederick,20-24,147.0,245,2016.0
457,Georgetown,20-24,28.0,54,2016.0
458,Glendale,20-24,357.0,655,2016.0
459,Golden,20-24,1116.0,2013,2016.0
459,Golden,20-24,1116.0,2013,2016.0
460,Greenwood Village,20-24,224.0,202,2016.0
461,Hudson,20-24,82.0,102,2016.0
462,Idaho Springs,20-24,110.0,51,2016.0
463,Jamestown,20-24,0.0,0,2016.0
464,Keenesburg,20-24,29.0,40,2016.0
465,Kiowa,20-24,14.0,21,2016.0
466,Lafayette,20-24,822.0,738,2016.0
467,Lakeside,20-24,0.0,0,2016.0
468,Lakewood,20-24,5468.0,5759,2016.0
469,Larkspur,20-24,3.0,8,2016.0
470,Littleton,20-24,1261.0,1437,2016.0
471,Lone Tree,20-24,559.0,251,2016.0
